,tc,call_volume,aht,service_level,art,positions,resources_shifts
170,2022-12-02 18:30:00.000,165,231,80,30,48,0
171,2022-12-02 18:45:00.000,143,404,80,30,71,0
172,2022-12-02 19:00:00.000,124,186,80,30,30,0
173,2022-12-02 19:15:00.000,99,259,80,30,33,0
174,2022-12-02 19:30:00.000,91,595,80,30,68,0
175,2022-12-02 19:45:00.000,92,197,80,30,24,0
176,2022-12-02 20:00:00.000,74,642,80,30,60,0
177,2022-12-02 20:15:00.000,66,178,80,30,17,0
178,2022-12-02 20:30:00.000,58,185,80,30,15,0
179,2022-12-02 20:45:00.000,56,176,80,30,14,0
180,2022-12-02 21:00:00.000,48,196,80,30,14,6
181,2022-12-02 21:15:00.000,43,177,80,30,12,7
182,2022-12-02 21:30:00.000,39,185,80,30,11,7
183,2022-12-02 21:45:00.000,33,167,80,30,9,9
184,2022-12-02 22:00:00.000,35,191,80,30,10,9
185,2022-12-02 22:15:00.000,32,180,80,30,9,9
186,2022-12-02 22:30:00.000,24,206,80,30,8,9
187,2022-12-02 22:45:00.000,18,146,80,30,5,9
188,2022-12-02 23:00:00.000,19,160,80,30,6,9
189,2022-12-02 23:15:00.000,16,115,80,30,4,9
190,2022-12-02 23:30:00.000,11,273,80,30,6,9
191,2022-12-02 23:45:00.000,12,203,80,30,5,9
192,2022-12-03 00:00:00.000,8,179,80,30,4,5
193,2022-12-03 00:15:00.000,6,140,80,30,3,5
194,2022-12-03 00:30:00.000,7,289,80,30,5,5
195,2022-12-03 00:45:00.000,6,167,80,30,3,5
196,2022-12-03 01:00:00.000,4,167,80,30,2,5
197,2022-12-03 01:15:00.000,5,118,80,30,2,5
198,2022-12-03 01:30:00.000,6,145,80,30,3,5
199,2022-12-03 01:45:00.000,8,155,80,30,3,5
200,2022-12-03 02:00:00.000,10,181,80,30,4,5
201,2022-12-03 02:15:00.000,7,147,80,30,3,5
202,2022-12-03 02:30:00.000,6,60,80,30,2,5
203,2022-12-03 02:45:00.000,9,167,80,30,4,5
204,2022-12-03 03:00:00.000,9,138,80,30,3,5
205,2022-12-03 03:15:00.000,11,161,80,30,4,5
206,2022-12-03 03:30:00.000,10,144,80,30,4,5
207,2022-12-03 03:45:00.000,12,120,80,30,3,5
208,2022-12-03 04:00:00.000,19,128,80,30,5,5
209,2022-12-03 04:15:00.000,17,120,80,30,4,5
210,2022-12-03 04:30:00.000,21,129,80,30,5,5
211,2022-12-03 04:45:00.000,18,129,80,30,5,5
212,2022-12-03 05:00:00.000,25,155,80,30,7,5
213,2022-12-03 05:15:00.000,28,129,80,30,6,5
214,2022-12-03 05:30:00.000,27,126,80,30,6,5
215,2022-12-03 05:45:00.000,32,151,80,30,8,5
216,2022-12-03 06:00:00.000,37,146,80,30,9,2
217,2022-12-03 06:15:00.000,37,154,80,30,9,2
218,2022-12-03 06:30:00.000,38,148,80,30,9,2
219,2022-12-03 06:45:00.000,41,161,80,30,10,0
220,2022-12-03 07:00:00.000,43,160,80,30,11,0
221,2022-12-03 07:15:00.000,49,151,80,30,11,0
222,2022-12-03 07:30:00.000,53,158,80,30,12,0
223,2022-12-03 07:45:00.000,58,177,80,30,15,0
224,2022-12-03 08:00:00.000,71,162,80,30,16,0
225,2022-12-03 08:15:00.000,76,166,80,30,18,0
226,2022-12-03 08:30:00.000,80,167,80,30,18,0
227,2022-12-03 08:45:00.000,85,156,80,30,18,0
228,2022-12-03 09:00:00.000,92,165,80,30,21,0
229,2022-12-03 09:15:00.000,101,163,80,30,22,0
230,2022-12-03 09:30:00.000,116,156,80,30,24,0
231,2022-12-03 09:45:00.000,123,170,80,30,27,0
232,2022-12-03 10:00:00.000,129,158,80,30,27,0
233,2022-12-03 10:15:00.000,132,165,80,30,28,0
234,2022-12-03 10:30:00.000,137,159,80,30,28,0
235,2022-12-03 10:45:00.000,137,177,80,30,31,0
236,2022-12-03 11:00:00.000,137,174,80,30,31,0
237,2022-12-03 11:15:00.000,139,173,80,30,31,0
238,2022-12-03 11:30:00.000,139,167,80,30,30,0
239,2022-12-03 11:45:00.000,135,168,80,30,29,0
240,2022-12-03 12:00:00.000,133,178,80,30,31,0
241,2022-12-03 12:15:00.000,130,168,80,30,28,0
242,2022-12-03 12:30:00.000,129,165,80,30,28,0
243,2022-12-03 12:45:00.000,124,162,80,30,26,0
244,2022-12-03 13:00:00.000,121,157,80,30,25,0
245,2022-12-03 13:15:00.000,118,168,80,30,26,0
246,2022-12-03 13:30:00.000,117,162,80,30,25,0
247,2022-12-03 13:45:00.000,107,179,80,30,25,0
248,2022-12-03 14:00:00.000,105,175,80,30,24,0
249,2022-12-03 14:15:00.000,105,184,80,30,26,0
250,2022-12-03 14:30:00.000,98,175,80,30,23,0
251,2022-12-03 14:45:00.000,95,177,80,30,23,0
252,2022-12-03 15:00:00.000,93,162,80,30,20,0
253,2022-12-03 15:15:00.000,91,177,80,30,22,0
254,2022-12-03 15:30:00.000,93,167,80,30,21,0
255,2022-12-03 15:45:00.000,90,161,80,30,20,0
256,2022-12-03 16:00:00.000,83,150,80,30,17,0
257,2022-12-03 16:15:00.000,82,162,80,30,18,0
258,2022-12-03 16:30:00.000,76,170,80,30,18,0
259,2022-12-03 16:45:00.000,78,170,80,30,18,0
260,2022-12-03 17:00:00.000,66,160,80,30,15,0
