tc,call_volume,aht,service_level,art,positions,positions_quantile
2023-03-02 07:30:00+03:00,203,416.5960591133005,80,30,102,102
2023-03-02 07:45:00+03:00,217,429.6912442396313,80,30,112,112
2023-03-02 08:00:00+03:00,261,422.13793103448273,80,30,131,131
2023-03-02 08:15:00+03:00,285,431.0842105263158,80,30,146,146
2023-03-02 08:30:00+03:00,330,438.1393939393939,80,30,170,170
2023-03-02 08:45:00+03:00,381,445.7926509186352,80,30,199,199
2023-03-02 09:00:00+03:00,471,434.7876857749469,80,30,238,238
2023-03-02 09:15:00+03:00,503,441.3300198807157,80,30,257,257
2023-03-02 09:30:00+03:00,567,450.7178130511464,80,30,295,295
2023-03-02 09:45:00+03:00,584,456.3561643835616,80,30,308,308
2023-03-02 10:00:00+03:00,595,461.8756302521009,80,30,317,317
2023-03-02 10:15:00+03:00,615,457.73658536585367,80,30,325,325
2023-03-02 10:30:00+03:00,639,459.4428794992176,80,30,338,338
2023-03-02 10:45:00+03:00,642,453.0467289719626,80,30,335,335
2023-03-02 11:00:00+03:00,638,452.5329153605016,80,30,333,333
2023-03-02 11:15:00+03:00,622,452.4421221864952,80,30,324,324
2023-03-02 11:30:00+03:00,605,457.7900826446281,80,30,319,319
2023-03-02 11:45:00+03:00,594,459.25757575757575,80,30,315,315
2023-03-02 12:00:00+03:00,598,447.9581939799331,80,30,309,309
2023-03-02 12:15:00+03:00,590,451.5084745762712,80,30,307,307
2023-03-02 12:30:00+03:00,598,449.3979933110368,80,30,310,310
2023-03-02 12:45:00+03:00,571,439.8686514886165,80,30,290,290
2023-03-02 13:00:00+03:00,569,442.2934973637961,80,30,291,291
2023-03-02 13:15:00+03:00,577,445.5736568457539,80,30,297,297
2023-03-02 13:30:00+03:00,576,445.078125,80,30,296,296
2023-03-02 13:45:00+03:00,575,444.4869565217391,80,30,295,295
2023-03-02 14:00:00+03:00,571,439.138353765324,80,30,290,290
2023-03-02 14:15:00+03:00,563,439.7619893428064,80,30,286,286
2023-03-02 14:30:00+03:00,564,441.0673758865248,80,30,288,288
2023-03-02 14:45:00+03:00,542,442.619926199262,80,30,278,278
2023-03-02 15:00:00+03:00,558,440.4372759856631,80,30,284,284
2023-03-02 15:15:00+03:00,528,446.1117424242424,80,30,273,273
2023-03-02 15:30:00+03:00,510,446.2176470588235,80,30,264,264
2023-03-02 15:45:00+03:00,486,444.7407407407408,80,30,251,251
2023-03-02 16:00:00+03:00,477,445.8134171907757,80,30,247,247
2023-03-02 16:15:00+03:00,449,440.543429844098,80,30,230,230
2023-03-02 16:30:00+03:00,442,445.3371040723982,80,30,229,229
2023-03-02 16:45:00+03:00,394,438.2690355329949,80,30,202,202
2023-03-02 17:00:00+03:00,377,441.9336870026525,80,30,195,195
2023-03-02 17:15:00+03:00,312,444.12820512820514,80,30,163,163
2023-03-02 17:30:00+03:00,276,452.06159420289856,80,30,148,148
2023-03-02 17:45:00+03:00,254,439.6732283464567,80,30,133,133
2023-03-02 18:00:00+03:00,227,434.2466960352423,80,30,118,118
2023-03-02 18:15:00+03:00,186,418.6774193548387,80,30,94,94
2023-03-02 18:30:00+03:00,165,422.5151515151515,80,30,85,85
2023-03-02 18:45:00+03:00,143,420.4195804195804,80,30,74,74
2023-03-02 19:00:00+03:00,124,405.53225806451616,80,30,63,63
2023-03-02 19:15:00+03:00,99,406.3939393939394,80,30,51,51
2023-03-02 19:30:00+03:00,91,396.9230769230769,80,30,46,46
